v1,v2,v3,v4,total_force_N
23037.44,1894.96,-6764.72,13971.48,3.384
23147.28,2040.22,-6887.38,13978.7,3.468
23124.28,1192.32,-6029.14,13279.86,3.043
22652.3,2343.34,-7476.2,13856.06,2.928
23080.34,1904.44,-7049.28,14263.06,3.42
23336.66,1682.1,-6795.66,14387.74,3.666
23292.14,1636.94,-6625.72,14296.14,3.659
23925.78,1532.54,-6467.0,17968.66,6.265
24695.46,1321.54,-6640.14,21937.28,8.865
27213.3,1259.14,-5881.52,38941.46,20.932
30013.98,700.94,-5333.02,56941.1,33.323
32463.7,929.34,-5504.14,68685.28,41.806
33189.56,908.68,-5460.14,73841.5,45.319
33809.7,1008.16,-5137.18,76775.94,47.685
34695.82,1680.38,-5959.18,83536.58,52.141
34580.8,1914.86,-6097.4,84816.86,52.891
34727.16,1598.02,-5127.56,84368.5,53.1
34415.94,2151.54,-6046.2,84083.04,52.528
34993.58,2201.88,-5193.9,85353.14,54.162
35480.46,1805.72,-4945.68,87270.2,55.503
35977.54,1396.26,-4991.02,90318.98,57.339
35621.2,1353.48,-4936.8,88202.76,55.877
36466.26,1713.1,-5249.96,97937.66,62.188
39539.9,1220.62,-5351.72,118191.86,75.673
43292.0,710.14,-5772.16,134437.18,86.968
47306.84,1205.66,-4108.8,150225.34,99.959
49913.34,2761.76,558.38,155260.92,108.152
52859.08,1588.16,3457.3,165453.04,116.925
52490.02,2306.3,1237.9,168945.56,117.882
50868.44,1427.44,-1560.24,167688.02,114.014
51553.38,1454.44,-1876.98,171231.54,116.338
52153.48,325.98,-3792.54,178384.98,119.116
53677.9,619.92,-4260.94,192572.58,128.276
55752.12,230.9,-3966.98,206644.52,137.728
56137.04,980.34,-1030.38,204092.7,138.622
58553.82,2819.36,5524.56,203646.1,144.72
59960.6,3278.84,8789.1,206155.78,149.212
60034.56,3593.36,8682.96,204938.44,148.662
55029.08,3156.02,5148.7,180014.22,128.711
43569.28,2562.66,-471.52,118849.26,82.137
29813.9,1990.64,-4403.16,44484.04,27.104
22960.48,2264.8,-6644.22,14957.06,4.22
22488.86,2115.68,-6399.88,12640.46,2.611
22996.08,2189.06,-6598.7,14190.42,3.765
23275.62,1988.58,-6347.04,13174.9,3.356
22871.08,1955.84,-6399.58,11949.22,2.331
22851.64,2101.08,-5935.2,14067.24,3.949
23150.92,3082.68,1826.66,13940.26,9.275
23335.32,5612.7,17590.1,15104.74,20.998
23771.62,9725.14,46669.4,16272.72,41.726
23832.3,14366.96,67372.14,15513.74,56.379
24314.82,17329.06,90602.94,18083.72,73.735
24240.98,19677.3,116645.44,18927.46,91.007
24546.56,22108.14,138257.86,19823.56,105.932
24245.74,23471.96,145835.7,18825.26,110.445
24325.42,23515.18,144405.0,19989.68,110.361
24522.06,22910.42,143346.38,21595.54,110.443
24403.5,22927.94,146193.64,21556.58,112.041
24102.84,21364.82,141339.38,19909.56,107.102
24042.52,15943.04,101677.54,19577.64,80.201
23715.42,8249.1,45877.44,18024.7,41.385
22591.04,3151.38,8191.58,13380.64,12.448
23747.12,1881.64,-5949.74,13250.7,3.857
23525.54,2291.76,-6683.32,13944.26,3.945
23246.82,2053.84,-6854.24,12828.72,2.868
23629.82,1904.58,-4244.44,13431.54,4.927
23648.02,4492.02,22301.64,15696.42,23.678
23381.32,6364.66,57770.48,17576.06,46.873
24104.02,8760.02,111009.42,23674.76,83.937
24095.22,11325.34,157414.18,26208.98,114.379
24583.9,11494.12,177082.2,27823.18,127.318
23835.58,12633.88,182898.58,28531.84,131.392
24451.7,13375.48,200322.54,30268.62,143.469
24680.24,14633.46,212534.0,30868.14,151.875
24360.82,14619.2,210765.04,28778.34,149.411
24438.48,15153.32,205709.36,27802.0,146.225
23883.86,14563.64,189021.8,26810.24,135.149
24222.04,12307.72,153064.24,24824.72,111.65
23425.18,8521.7,106813.64,20508.34,79.032
23686.96,3887.32,51061.64,18680.96,42.248
23884.54,1261.66,2875.9,14963.04,9.863
23211.54,482.66,-6104.34,11828.24,1.758
23257.48,1698.08,-7531.32,13635.72,2.739
23726.04,1767.96,-6608.8,14372.34,4.053
23940.3,1852.4,-7009.62,13872.96,3.693
23527.84,1590.62,-6946.44,12778.38,2.674
23507.26,2021.82,-6957.3,14059.4,3.678
23641.3,1778.88,-6748.0,12797.2,2.984
24342.9,2115.74,-7184.68,13924.34,4.017
23838.0,1993.88,-7109.68,13857.3,3.647
23859.26,1896.28,-6848.24,13931.86,3.803
22905.18,1495.34,-6793.86,12665.28,2.268
23853.12,1960.36,-6959.62,14261.54,3.968
32603.12,2486.02,-6732.56,14732.94,9.926
44577.14,2440.24,-6430.48,13942.48,16.754
45954.1,4504.02,-7785.94,14702.36,18.452
43976.1,6051.3,-7310.94,13843.98,17.966
81454.4,7178.34,-6452.38,13954.64,41.545
107818.56,5043.74,-6274.86,17982.32,58.449
114625.28,5343.7,-6527.92,16469.6,61.62
129625.04,6250.18,-6245.74,15901.68,70.889
131478.46,6434.42,-6733.88,17214.92,72.586
134661.64,6905.16,-6778.72,17146.62,74.686
142746.2,7366.14,-7004.58,15667.08,78.74
172620.84,7304.5,-7401.68,17831.86,97.433
202527.16,8700.2,-7592.2,18013.28,115.917
211531.56,8730.2,-6943.18,17779.58,121.491
214605.34,9001.1,-7849.46,19325.7,123.84
207753.86,8266.74,-7249.64,19488.54,119.816
184929.12,7112.24,-7281.1,18885.28,105.288
146776.7,5185.14,-6169.8,17241.14,81.263
94482.52,3897.38,-7866.86,15939.86,47.682
52869.04,1670.68,-6517.78,14814.54,21.709
25517.34,655.04,-6064.48,13731.88,4.401
24353.18,897.36,-6095.4,13808.04,3.877
23696.46,771.22,-5797.1,12079.88,2.554
24249.14,704.24,-5969.52,13173.18,3.395
24273.64,1094.04,-5947.46,13317.54,3.742
23262.16,804.86,-6283.96,11602.96,1.739
24012.02,963.36,-5937.96,12821.96,3.217
24020.64,984.68,-6053.84,13805.04,3.753
23408.46,4911.42,-5403.68,11897.4,4.982
24463.1,12756.9,-5440.34,12424.64,10.591
29255.4,40254.32,-4346.82,12971.92,30.828
34700.26,61606.64,-2838.28,12075.14,47.142
38432.48,87986.28,-2076.58,12702.3,65.854
41985.52,107599.88,-876.54,13740.38,80.917
43287.82,123892.56,198.66,12795.64,91.411
40531.06,134721.88,-573.6,12732.26,95.692
40699.6,131681.78,268.96,13470.02,94.928
39370.08,135978.32,1662.66,12371.6,96.858
35718.22,141038.84,480.86,13874.74,97.88
36460.4,145285.7,1325.58,14044.56,101.429
37406.38,129614.12,1421.26,12734.4,92.003
38429.28,138928.58,527.56,13870.26,98.261
36308.88,164616.7,2235.34,13571.26,113.015
41392.8,161315.2,2582.4,14516.08,114.83
42828.34,158416.98,1961.64,13934.24,113.257
44968.84,171448.68,1915.32,11452.48,120.716
46484.98,180123.46,2109.16,13398.42,127.985
46010.66,186491.46,1903.78,13902.56,131.633
44791.04,170178.48,1854.26,13490.76,121.028
42598.68,163167.08,253.92,11710.12,113.604
44222.0,161808.78,-203.94,12890.92,114.187
44000.96,149089.8,-411.28,13569.66,106.826
42397.86,136578.16,46.88,11875.6,97.754
39877.78,115180.8,-2027.44,12681.2,82.85
34732.08,83497.68,-1774.34,13219.02,61.48
26873.56,39873.14,-3506.2,13826.78,30.192
24387.62,3710.84,-5045.08,12592.12,5.479
23903.24,1207.28,-6521.34,13074.9,3.1
24006.88,1231.36,-6174.14,13823.42,3.832
24065.82,443.36,-5831.6,12536.28,2.831
