Force_N,V1_mean,V2_mean,V3_mean,V4_mean
0.000,20677.84,-1767.07,-2001.72,8751.81
98.100,52010.55,30922.17,27684.45,41735.75
196.200,93597.14,78391.15,68512.61,89728.34
294.300,140668.77,82980.72,119614.50,90731.00
392.400,221479.99,123920.35,207260.66,124641.74
490.500,248201.15,149204.03,234040.41,147535.61
588.600,294168.78,189786.81,288582.30,182559.84
686.700,353797.78,256353.61,367525.35,228850.47
784.800,384415.73,291805.72,405600.73,250708.13
882.900,406359.52,304266.36,418050.77,266086.62
981.000,502177.21,398112.79,525922.59,327880.01
1079.100,533344.28,426313.38,556428.86,349972.81
1177.200,604319.20,493350.43,627582.62,397863.45
