Index,DeviceTime_ms,Step_ms,V1,V2,V3,V4
0,623848,0,9.959,18.563,18.377,8.011
1,623817,-31,9.95,18.529,18.371,7.93
2,623834,17,9.873,18.615,18.441,7.912
3,623857,23,9.883,18.615,18.419,8.003
4,623840,-17,9.896,18.63,18.46,8.013
5,623862,22,9.678,18.616,18.359,7.886
6,623819,-43,9.791,18.609,18.344,7.854
7,623822,3,9.76,18.629,18.346,7.847
8,623816,-6,9.742,18.689,18.37,7.806
9,623854,38,9.686,18.625,18.355,7.862
10,623852,-2,9.668,18.638,18.312,7.865
11,623899,47,9.713,18.613,18.356,7.859
12,623879,-20,9.748,18.644,18.355,7.884
13,623876,-3,9.837,18.607,18.368,7.889
14,623914,38,9.83,18.673,18.355,7.766
15,623896,-18,9.739,18.683,18.297,7.815
16,623863,-33,9.76,18.578,18.309,7.829
17,623923,60,9.745,18.546,18.34,7.805
18,623904,-19,9.763,18.558,18.352,7.837
19,623959,55,9.754,18.611,18.384,7.872
20,623911,-48,9.666,18.626,18.299,7.841
21,623935,24,9.812,18.544,18.331,7.865
22,623894,-41,9.806,18.581,18.309,7.84
23,623979,85,9.729,18.604,18.339,7.849
24,623924,-55,9.716,18.58,18.375,7.837
25,623928,4,9.748,18.583,18.332,7.875
26,623958,30,9.776,18.585,18.372,7.865
27,623898,-60,9.774,18.642,18.356,7.829
28,623845,-53,9.812,18.581,18.368,7.894
29,623898,53,9.845,18.612,18.345,7.816
30,623900,2,9.721,18.652,18.423,7.752
31,623947,47,9.728,18.632,18.441,7.738
32,623923,-24,9.786,18.668,18.325,7.786
33,623882,-41,9.782,18.63,18.34,7.822
34,623967,85,9.787,18.59,18.345,7.847
35,623903,-64,9.74,18.582,18.297,7.8
36,623877,-26,9.763,18.612,18.319,7.804
37,623854,-23,9.726,18.548,18.29,7.765
38,623859,5,9.66,18.562,18.299,7.819
39,623891,32,9.661,18.589,18.3,7.842
40,623873,-18,9.757,18.599,18.247,7.781
41,623827,-46,9.734,18.553,18.217,7.793
42,623862,35,9.74,18.489,18.315,7.881
43,623865,3,9.706,18.55,18.331,7.835
44,623914,49,9.774,18.685,18.339,7.849
45,624366,452,9.734,18.612,18.243,7.778
46,623328,-1038,9.694,18.52,18.32,7.816
47,623821,493,9.776,18.551,18.368,7.802
48,623935,114,9.795,18.568,18.381,7.827
49,623856,-79,9.774,18.595,18.31,7.757
50,623859,3,9.732,18.604,18.246,7.752
51,623873,14,9.758,18.551,18.279,7.851
52,623922,49,9.711,18.568,18.361,7.886
53,623868,-54,9.753,18.547,18.324,7.821
54,623914,46,9.731,18.599,18.332,7.859
55,623898,-16,9.742,18.605,18.301,7.846
56,623917,19,9.754,18.53,18.322,7.896
57,623878,-39,9.784,18.488,18.331,7.856
58,623968,90,9.804,18.534,18.362,7.852
59,623936,-32,9.762,18.588,18.305,7.799
60,623918,-18,9.693,18.589,18.318,7.905
61,623900,-18,9.618,18.607,18.279,7.809
62,623964,64,9.663,18.526,18.301,7.757
63,623911,-53,9.727,18.562,18.281,7.792
64,623936,25,9.725,18.596,18.339,7.835
65,623891,-45,9.774,18.596,18.323,7.843
66,623863,-28,9.781,18.614,18.322,7.887
67,623919,56,9.744,18.564,18.35,7.835
68,623970,51,9.775,18.572,18.303,7.815
69,623970,0,9.771,18.612,18.266,7.826
70,623867,-103,9.762,18.647,18.364,7.789
71,623922,55,9.697,18.584,18.32,7.826
72,623900,-22,9.799,18.579,18.355,7.858
73,623835,-65,9.753,18.567,18.346,7.891
74,623868,33,9.81,18.63,18.258,7.843
75,623875,7,9.776,18.58,18.26,7.693
76,623889,14,9.762,18.594,18.332,7.779
77,623928,39,9.851,18.545,18.345,7.802
78,623867,-61,9.7,18.555,18.298,7.808
79,623952,85,9.73,18.558,18.247,7.829
80,623905,-47,9.842,18.632,18.331,7.899
81,623922,17,9.8,18.601,18.307,7.889
82,623874,-48,9.724,18.576,18.301,7.946
83,623965,91,9.774,18.658,18.366,7.837
84,623932,-33,9.691,18.587,18.314,7.782
85,623925,-7,9.711,18.524,18.344,7.824
86,623900,-25,9.715,18.666,18.297,7.822
87,623922,22,9.763,18.639,18.319,7.886
88,623924,2,9.795,18.665,18.309,7.797
89,623927,3,9.809,18.669,18.32,7.675
90,623894,-33,9.712,18.59,18.341,7.805
91,623879,-15,9.757,18.641,18.341,7.859
92,623917,38,9.8,18.641,18.396,7.842
93,623873,-44,9.803,18.633,18.376,7.816
94,623928,55,9.739,18.611,18.336,7.718
95,623932,4,9.714,18.583,18.284,7.711
96,623925,-7,9.724,18.583,18.333,7.781
97,623961,36,9.677,18.554,18.275,7.716
98,623869,-92,9.735,18.6,18.335,7.687
