Index,DeviceTime_ms,Step_ms,V1,V2,V3,V4
0,623948,0,283160,241487,92182,141200
1,623993,45,283182,241494,92125,141204
2,623932,-61,283234,241542,92147,141277
3,623928,-4,283249,241587,92124,141239
4,624164,236,283070,241519,91981,141249
5,623791,-373,283121,241480,91992,141227
6,623987,196,283074,241365,91950,141163
7,623972,-15,283076,241435,92023,141151
8,623954,-18,283061,241470,92078,141251
9,623991,37,283113,241445,92022,141171
10,624037,46,283196,241444,91957,141241
11,623982,-55,283093,241323,92021,141221
12,623976,-6,283048,241381,92069,141239
13,623956,-20,283122,241421,92019,141316
14,623999,43,283152,241431,92031,141229
15,623979,-20,283122,241467,92000,141217
16,623985,6,283131,241385,91946,141267
17,623971,-14,283172,241423,91997,141216
18,623976,5,283150,241350,92001,141225
19,623977,1,283123,241293,91987,141241
20,624006,29,283109,241373,91969,141239
21,623993,-13,283190,241342,91925,141282
22,624033,40,283221,241385,92000,141215
23,624037,4,283119,241359,91991,141189
24,623988,-49,283125,241358,91971,141224
25,623998,10,283152,241379,92021,141220
26,624020,22,283140,241425,92008,141242
27,623989,-31,283094,241486,91979,141273
28,624016,27,283098,241409,91998,141187
29,623972,-44,283110,241329,92019,141209
30,624023,51,283134,241402,91993,141248
31,623999,-24,283036,241465,92015,141230
32,623982,-17,283044,241436,92078,141174
33,623950,-32,283096,241424,91967,141227
34,623969,19,283122,241396,91901,141251
35,623954,-15,283168,241436,91993,141219
36,623956,2,283133,241478,92044,141210
37,623981,25,283112,241438,91999,141236
38,623950,-31,283165,241376,92121,141211
39,623988,38,283195,241349,92113,141207
40,624030,42,283158,241409,91980,141221
41,623970,-60,283175,241366,91968,141200
42,623967,-3,283113,241400,92033,141229
43,624002,35,282981,241470,92069,141246
44,623992,-10,283084,241443,92000,141202
45,623965,-27,283166,241437,91940,141201
46,623976,11,283116,241486,91946,141160
47,623990,14,283127,241472,92089,141233
48,623976,-14,283113,241455,92117,141218
49,623988,12,283179,241431,92039,141182
50,624026,38,283119,241416,91975,141214
