Time,V1,V2,V3,V4
2782655,-385.740,-1049.780,1078.400,-2384.580
2885055,-445.740,-583.900,804.760,-356.400
2987455,-65.540,-449.060,726.420,-404.160
3089855,-221.580,-615.640,634.600,-1308.880
3192256,-343.460,-1.580,-296.700,261.160
3294655,155.360,-34.420,239.160,-140.340
3397055,-187.020,-437.800,608.120,-71.240
3499455,-414.340,175.960,-747.440,-282.320
3601856,725.620,-716.280,1288.000,-648.540
3704256,43.380,-1105.160,1668.820,-1292.060
3806655,151.980,-769.040,1483.340,-1001.900
3909056,-606.620,58.600,156.480,-1158.040
4011455,-142.420,-249.600,209.680,169.900
4113855,49.920,-325.280,36.040,356.860
4216255,302.320,26.520,24.260,402.560
4318655,-251.480,-1060.200,1519.200,-2042.260
4421055,189.940,-1135.200,844.400,-561.360
4523455,248.700,-770.500,587.360,-279.500
4625855,602.820,-271.960,447.280,623.340
4728255,680.020,-279.040,793.420,437.440
4830655,718.340,-366.760,621.180,274.500
4933055,175.640,-1396.880,1548.280,-2570.480
5035455,-822.980,-542.100,581.480,-608.740
5137855,-93.160,-144.520,24.320,-73.400
5240255,-330.900,-83.900,386.760,-873.800
5342655,103.900,-109.360,278.180,378.000
5445055,724.380,-727.060,3107.880,5687.420
5547455,799.980,-68.580,3163.480,12133.520
5649855,3115.280,1320.580,8283.420,39539.360
5752255,5419.700,2415.860,14005.580,70065.100
5854655,6016.020,1245.320,15943.060,84864.420
5957054,7176.940,2413.800,15528.580,92485.700
6059455,7245.020,2492.520,17257.040,106144.620
6161855,7083.700,2670.080,19847.840,112353.000
6264254,7116.360,2838.780,19467.320,124123.880
6366655,7773.480,2548.580,21141.160,127268.480
6469055,8383.840,3074.680,21484.740,123162.640
6571455,8357.760,3832.540,20687.080,130707.240
6673855,8952.160,3085.220,23614.980,135796.880
6776254,8975.940,2253.180,24329.840,137054.860
6878654,8378.140,3679.420,22629.640,138564.180
6981054,8707.320,3335.020,22978.380,136131.380
7083455,8484.520,1751.560,21088.380,122750.540
7185854,7993.900,1807.340,19924.240,116712.000
7288255,7612.800,2490.280,18408.540,114242.340
7390654,7601.720,1771.800,18391.180,110222.440
7493055,7923.240,1340.560,19156.180,113192.620
7595455,6615.640,1797.260,16900.660,97712.340
7697855,2991.260,-268.540,6187.000,33482.880
7800255,376.060,-1111.540,1319.060,312.580
7902655,2.100,-377.960,468.860,-145.540
8005055,19.520,1.240,41.300,405.420
8107455,-536.680,-1020.420,769.040,-946.820
8209855,-22.380,-555.200,172.580,-363.020
